종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
099410,동방선기,"3,010","-145","4.60","3,020","3,010","314,191","962,409,870","3,160","3,170","3,005","500",원(KRW),"13,541,002","40,758,416,020",
033500,동성화인텍,"11,550","-250","2.12","11,600","11,550","238,970","2,781,296,050","11,750","11,800","11,550","500",원(KRW),"27,493,533","317,550,306,150",
025950,동신건설,"15,800","-350","2.17","15,800","15,750","331,782","5,186,609,050","15,700","16,100","15,250","500",원(KRW),"8,400,000","132,720,000,000",
088130,동아엘텍,"7,940","-50","0.63","7,940","7,920","35,982","285,401,560","7,990","7,990","7,910","500",원(KRW),"10,662,938","84,663,727,720",
041930,동아화성,"10,250","-200","1.91","10,300","10,250","293,077","3,016,279,400","10,400","10,450","10,200","500",원(KRW),"15,800,000","161,950,000,000",
060380,동양에스텍,"2,960","55","1.89","2,970","2,960","27,871","82,232,625","2,905","3,035","2,905","500",원(KRW),"10,000,000","29,600,000,000",
079960,동양이엔피,"15,450","-300","1.90","15,450","15,400","62,420","968,501,500","15,700","15,800","15,400","500",원(KRW),"7,860,000","121,437,000,000",
228340,동양파일,"3,485","70","2.05","3,485","3,480","725,707","2,626,696,605","3,385","3,880","3,385","500",원(KRW),"20,000,000","69,700,000,000",
088910,동우팜투테이블,"3,345","-15","0.45","3,345","3,340","180,130","606,220,735","3,360","3,405","3,315","500",원(KRW),"25,831,764","86,407,250,580",
094170,동운아나텍,"10,000","-150","1.48","10,050","10,000","128,149","1,290,668,680","10,100","10,250","9,910","500",원(KRW),"15,758,872","157,588,720,000",
013120,동원개발,"4,745","-70","1.45","4,755","4,745","436,421","2,082,436,630","4,860","4,860","4,685","500",원(KRW),"90,808,100","430,884,434,500",
109860,동일금속,"11,200","-50","0.44","11,250","11,200","6,486","72,652,750","11,300","11,300","11,100","500",원(KRW),"7,000,000","78,400,000,000",
032960,동일기연,"12,500","-150","1.19","12,550","12,450","22,063","276,377,700","12,650","12,700","12,400","500",원(KRW),"3,407,309","42,591,362,500",
023790,동일철강,"6,180","-230","3.59","6,180","6,170","55,663","347,304,880","6,410","6,450","6,170","500",원(KRW),"7,345,085","45,392,625,300",
005290,동진쎄미켐,"32,850","1,000","3.14","32,850","32,800","1,273,705","41,503,850,650","31,850","33,300","31,350","500",원(KRW),"51,414,494","1,688,966,127,900",
025900,동화기업,"42,500","-550","1.28","42,600","42,450","71,480","3,040,905,150","42,900","43,350","42,050","500",원(KRW),"20,198,382","858,431,235,000",
073190,듀오백,"3,280","90","2.82","3,300","3,280","195,112","634,714,040","3,190","3,380","3,130","500",원(KRW),"11,968,040","39,255,171,200",
030350,드래곤플라이,"3,075","-90","2.84","3,100","3,075","97,494","302,159,195","3,180","3,180","3,055","500",원(KRW),"17,107,393","52,605,233,475",
203650,드림시큐리티,"4,085","-130","3.08","4,095","4,085","1,005,859","4,140,655,775","4,200","4,205","4,075","100",원(KRW),"50,605,754","206,724,505,090",
223250,드림씨아이에스,"19,800","-400","1.98","19,800","19,750","17,269","344,206,450","20,200","20,450","19,600","500",원(KRW),"5,565,870","110,204,226,000",
060570,드림어스컴퍼니,"5,190","10","0.19","5,190","5,180","1,005,590","5,214,721,910","5,170","5,330","5,050","500",원(KRW),"56,859,847","295,102,605,930",
217620,디딤,"2,165","25","1.17","2,170","2,155","209,165","448,465,930","2,180","2,185","2,110","100",원(KRW),"37,001,905","80,109,124,325",
187870,디바이스이엔지,"47,800","2,150","4.71","47,850","47,800","416,783","20,053,928,250","45,950","49,700","45,950","500",원(KRW),"7,036,609","336,349,910,200",
066670,디스플레이텍,"3,550","-25","0.70","3,560","3,550","67,691","241,113,605","3,550","3,600","3,500","500",원(KRW),"18,691,918","66,356,308,900",
110990,디아이티,"7,800","220","2.90","7,810","7,790","473,675","3,710,030,170","7,460","8,100","7,420","100",원(KRW),"18,900,000","147,420,000,000",
263690,디알젬,"15,900","-150","0.93","15,950","15,900","83,260","1,322,720,100","16,100","16,150","15,700","500",원(KRW),"11,325,610","180,077,199,000",
214680,디알텍,"1,470","-25","1.67","1,470","1,465","269,735","398,220,420","1,495","1,500","1,465","100",원(KRW),"51,782,343","76,120,044,210",
263720,디앤씨미디어,"34,700","-950","2.66","34,700","34,650","71,266","2,478,713,500","35,650","35,650","34,400","500",원(KRW),"12,275,111","425,946,351,700",
109740,디에스케이,"6,570","-120","1.79","6,570","6,530","109,646","718,432,910","6,720","6,720","6,500","500",원(KRW),"20,354,763","133,730,792,910",
033430,디에스티,"370","0","0.00","0","0","0","0","0","0","0","100",원(KRW),"64,191,253","23,750,763,610",
131030,디에이치피코리아,"8,150","70","0.87","8,150","8,140","129,667","1,058,470,480","8,080","8,260","8,080","500",원(KRW),"16,564,797","135,003,095,550",
196490,디에이테크놀로지,"7,030","-400","5.38","7,040","7,030","580,630","4,142,842,260","7,250","7,350","7,010","2,500",원(KRW),"22,779,083","160,136,953,490",
066900,디에이피,"4,225","-25","0.59","4,225","4,210","29,118","122,886,635","4,260","4,270","4,200","500",원(KRW),"22,744,503","96,095,525,175",
127120,디엔에이링크,"11,150","-250","2.19","11,200","11,100","248,790","2,802,586,950","11,400","11,600","11,000","500",원(KRW),"13,893,692","154,914,665,800",
